date,AC,SP,GR,OT
1517.375,254.1929134,40.222,72.121,15.2
1517.75,254.5505249,39.8,77.102,9.1
1518.5,265.062336,41.333,106.113,14.4
1518.875,267.4967192,42.667,99.116,13.1
1519,266.7913386,42.889,94.567,14.2
1519.125,266.0892388,42.667,92.067,14.6
1519.25,263.9796588,42.667,89.156,12.7
1519.75,249.2093176,42.667,82.723,11.7
1520.25,249.2093176,43.333,80.674,10.4
1521,273.8254593,42.222,81.434,8
1521.75,262.1062992,41.556,77.814,5.3
1522.375,271.4698163,41.556,90.781,8.8
1525.5,259.4094488,41.333,77.953,10.4
1525.875,260.4625984,40,75.871,12.1
1526,269.1502625,39.8,78.113,13.4
1526.375,297.3884514,39.8,86.167,16.8
1526.5,304.7703412,40.222,89.45,14.1
1526.75,303.7139108,40.667,91.447,17.7
1528.125,263.2972441,41.333,80.546,12
1528.25,259.261811,40.889,77.791,13.8
1528.375,255.2296588,40.444,74.902,14.6
1528.5,251.3188976,40,71.884,15
1528.625,250.6167979,39.8,71.596,18.7
1528.875,253.4284777,39,77.088,13.2
1529,261.6929134,38,79.795,18.1
1529.5,276.1515748,35,78.897,19.8
1529.875,280.8595801,34.4,73.803,23
1530,278.2086614,35,72.405,19.2
1530.625,261.2237533,38.6,80.862,16.3
1530.75,259.0748031,39.2,81.636,18
1530.875,257.6509186,39.8,83.9,5.7
1531.875,261.2106299,40,81.154,11.5
1532.25,262.2440945,37.8,73.856,17.7
1532.375,266.0990814,36.8,71.269,14.1
1532.625,269.9573491,36.4,69.52,22.5
1532.75,270.308399,36,70.132,18.5
1533,264.3307087,37,74.043,14.1
1533.25,261.5190289,38,77.873,15.6
1533.625,262.5721785,39.6,80.759,18.8
1533.75,263.9796588,39.4,80.418,16.3
1534.25,278.3956693,38.2,87.976,20.8
1534.375,281.9127297,37.8,88.917,22.3
1534.5,285.42979,37.6,89.567,21.7
1534.625,286.4829396,37.6,90.107,22.2
1535.375,264.9114173,38.6,79.686,7.8
1535.625,258.7040682,37.2,74.19,12.7
1535.75,261.9652231,36.6,74.276,19.2
1535.875,269.2552493,36.4,74.875,17.7
1536,278.0446194,36.4,77.741,21.2
1536.125,283.6712598,36.8,81.17,21.1
1536.25,288.5958005,37.8,86.604,22.6
1537.375,263.7631234,39.8,85.732,16.4
1537.5,255.5413386,40,84.479,14.5
1537.625,255.5413386,39.8,84.281,14.1
1538,268.1988189,40,88.365,12.4
1538.125,277.0505249,40,90.545,13.8
1539.375,312.417979,38.6,88.424,18
1539.5,292.1095801,37.8,74.807,18.1
1539.625,271.8044619,37.6,69.417,18.7
1539.75,256.7716535,37.8,67.788,4.9
1540.125,242.0013123,39.2,79.363,13.8
1541.375,257.4737533,39.6,73.056,13.3
1541.625,254.1338583,39.4,69.819,12.7
1541.75,253.4284777,39.2,68.587,16.5
1542.125,254.1338583,39.2,67.438,14.8
1542.5,251.6732283,40.222,75.94,11.2
1543.5,301.6043307,39.8,82.018,19.7
1543.875,299.8458005,38.6,69.258,19.3
1544,297.7362205,38.6,73.883,25.4
1544.125,292.847769,38.6,80.543,24.7
1544.25,289.2979003,39.2,87.356,15.5
1545.875,227.7591864,37,48.904,2.4
1546.125,238.7270341,35.4,46.164,6.3
1546.375,256.0892388,34.6,49.544,20.2
1546.5,258.7040682,34.6,50.555,22.4
1546.75,247.3097113,34.6,49.892,20.5
1548.125,305.3116798,32.2,81.78,20.9
1548.25,300.2001312,32,81.736,23.3
1548.375,296.6830709,31.8,79.77,21.3
1548.625,289.6489501,31,71.409,21.2
1548.875,282.9691601,30.2,65.761,22.7
1549,276.1122047,29.767,62.995,24.6
1549.125,266.4402887,29.302,60.583,21.2
1549.375,257.6509186,29.07,59.442,21.8
1549.5,258.0019685,29.302,59.529,18.2
1549.625,263.6811024,29.535,59.926,20.6
1549.875,272.0669291,30,61.56,24.2
1550,274.6948819,30.2,62.15,23.2
1550.25,278.3956693,30.6,63.55,23.3
1550.375,278.3956693,30.8,65.013,22.8
1550.625,278.5728346,32.8,73.572,24.6
1550.875,281.0334646,35,83.638,21.8
1551.25,277.5328084,39,91.234,18.7
1551.625,276.2860892,40.667,94.246,15.5
1551.875,291.1384514,41.556,99.797,14.7
1554.625,247.0997375,42,84.369,5.1
1554.875,242.1784777,41.778,81.638,9.1
1555.5,236.5518373,41.556,89.047,8.5
1558.375,266.4402887,29.302,109.463,18.5
1559.625,284.3733596,26.047,78.665,22.3
1560.125,278.1430446,26.512,72.733,21.5
1560.5,284.2125984,31.8,88.912,21.2
1566,271.0137795,32.2,73.513,17.7
1566.5,262.0209974,29.302,64.457,19.5
1567.5,290.7053806,25.116,62.103,23.6
1435.625,217.3818898,24.447,43.643,7.6
1436,226.8274278,25.541,52.413,8.9
1436.75,250.6266404,26.156,44.296,12
1437.125,262.5262467,25.14,45.317,18.3
1437.5,266.230315,24.445,48.916,11.7
1437.75,261.0334646,24.298,51.228,1.2
1439.625,289.0059055,23.44,41.812,23.7
1439.875,291.3845144,23.102,43.361,23.9
1440.25,298.6843832,22.241,42.148,21.5
1441.125,292.1981627,22.632,43.69,23.5
1442.5,269.8064304,22.032,52.374,18.7
1442.75,249.7276903,22.087,53.494,12.6
1442.875,258.5269029,22.295,56.154,10.8
1443.875,254.7440945,20.624,52.284,11.1
1444.375,253.7007874,23.433,55.441,10.2
1445.125,258.9402887,22.834,58.228,10.9
1445.5,262.8510499,22.274,61.085,11.7
1445.75,268.2874016,22.028,61.434,14.4
1446.125,267.3031496,21.989,56.834,16.1
1446.375,260.8661417,21.623,53.239,8.9
1447.125,265.5905512,23.597,48.828,14.2
1447.25,268.9435696,23.112,48.291,21.5
1447.375,272.2998688,22.629,47.189,22.4
1447.5,275.6528871,22.145,45.026,21.1
1447.625,279.0091864,21.659,43.719,21.8
1447.75,282.3654856,21.15,42.574,23.6
1447.875,285.7185039,20.863,41.6,22.7
1448,289.3339895,20.619,40.812,23.1
1448.125,289.3339895,20.425,40.544,23.9
1448.25,289.3339895,20.421,40.538,22.2
1448.375,289.3339895,20.422,40.548,24.1
1448.5,289.3339895,20.372,40.54,25
1448.625,287.0242782,19.944,40.745,21.2
1448.75,282.765748,19.528,40.952,23.8
1448.875,279.1371391,18.955,40.933,23.8
1449.25,273.9730971,18.813,41.933,23.1
1449.375,276.2664042,18.817,42.154,22
1449.5,278.5564304,18.816,42.17,24.4
1449.625,280.8464567,19.031,41.856,25.4
1449.75,283.1397638,19.235,41.31,19.5
1450.25,287.0242782,20.231,39.122,24.4
1450.375,289.3339895,20.552,38.744,23.8
1450.5,290.5610236,20.865,38.531,23.4
1450.625,291.925853,21.246,38.536,23
1450.75,293.2874016,21.229,38.528,23.5
1450.875,294.652231,21.226,38.51,24
1451,296.0137795,21.227,38.912,24.1
1451.125,297.3786089,21.227,39.544,24.3
1451.375,300.1049869,20.828,42.625,25.4
1452.125,281.9192913,20.25,49.753,18.3
1452.25,276.7814961,20.226,48.49,19
1452.625,271.5124672,23.983,47.061,9.7
1456.625,252.3687664,22.167,53.247,11.1
1457.125,248.7368766,22.032,50.734,10.3
1457.5,256.0269029,22.031,45.509,9.4
1458.375,249.0649606,22.996,40.953,11
1458.75,267.7985564,22.633,42.425,15.9
1459,280.0918635,22.377,43.933,19.7
1459.125,286.2368766,22.249,43.218,27.1
1459.25,292.3851706,22.124,42.278,26.8
1459.375,298.2447507,22.035,41.153,27
1459.5,298.5761155,21.991,39.935,25.4
1459.625,298.2447507,21.919,39.182,25.4
1460,299.0354331,22.245,40.508,25.1
1460.125,299.2355643,22.356,40.366,25.9
1460.25,297.2572178,22.467,39.82,25.9
1460.375,291.9717848,22.577,39.126,26.1
1460.625,279.8425197,22.837,37.977,27.1
1460.875,267.7132546,23.117,36.959,19.5
1461,262.2703412,23.174,36.916,17.1
1461.125,264.425853,23.233,37.247,6
1461.625,285.6266404,23.438,49.117,22.8
1461.75,290.9251969,23.51,53.793,25
1462,299.8950131,23.673,62.66,23.6
1490.875,236.932,189.276,54.979,1.9
1491.375,277.967,188.997,57.106,12.5
1491.75,258.396,189.96,53.131,7.9
1492.125,242.061,190.665,51.247,9.8
1492.75,255.24,191.428,52.164,10.2
1493.125,251.99,190.79,52.943,7.9
1494.75,257.154,187.877,46.832,14.5
1494.875,255.919,187.72,46.192,7.4
1495.125,283.018,185.306,46.555,17.1
1495.5,295.013,180.312,45.442,20.2
1495.625,297.825,178.177,45.755,21
1495.75,300.787,177.146,45.008,21.6
1496,306.711,173.949,45.029,24.7
1496.125,308.27,173.58,45.88,27.4
1496.25,298.169,173.24,46.775,21.3
1496.375,282.048,173.47,45.762,17.7
1496.625,272.736,174.357,46.25,15.5
1496.75,283.018,174.83,47.814,26.1
1496.875,296.275,175.176,47.903,25.8
1497,306.061,175.5,47.765,26
1497.25,316.968,173.968,49.237,26
1497.5,324.369,172.34,46.931,29
1497.625,326.578,171.812,47.916,24.2
1497.75,326.578,171.297,48.502,24.7
1497.875,321.249,171.536,48.645,23.3
1498,316.405,171.857,47.886,25.1
1498.25,282.386,176.039,49.781,9.6
1498.625,256.226,182.145,50.444,13.3
1499.25,267.866,184.299,48.293,11.8
1499.875,273.029,183.965,48.851,13.6
1500.25,279.861,177.969,45.919,15.2
1500.5,270.076,175.418,44.59,6.5
1500.75,258.892,173.855,42.927,19.6
1500.875,272.285,172.711,42.748,22.2
1501.125,291.33,171.51,44.01,20.3
1501.25,299.432,171.481,44.431,20.2
1501.375,300.063,171.361,43.732,16.9
1501.5,293.119,171.337,43.901,23
1501.625,291.225,171.59,43.914,22.2
1501.75,295.013,171.679,42,21.9
1501.875,286.806,171.882,40.774,23.8
1502,265.882,171.894,39.726,23.7
1502.125,255.06,171.861,39.25,23.3
1502.25,254.293,171.648,40.953,18.8
1502.375,265.255,171.385,42.211,23.6
1502.5,282.439,170.959,42.274,25.2
1502.625,300.063,170.79,40.093,24.4
1502.75,303.851,170.627,40.28,26.3
1502.875,305.745,170.432,40.918,26.1
1503,307.008,170.236,39.533,25.2
1503.125,306.814,170.157,38.89,21.4
1503.25,306.534,170.212,40.897,25.6
1503.375,307.047,170.344,42.112,23.8
1503.5,307.811,170.484,43.108,26
1503.625,305.573,170.334,44.014,27
1503.75,303.22,170.31,44.597,25.8
1503.875,304.253,170.693,46.285,24.7
1504,307.354,172.137,47.117,23.5
1504.125,310.455,175.062,47.596,27.2
1504.375,317.793,179.016,51.822,23.7
1504.5,326.664,180.103,54.003,22.7
1505.125,314.968,182.203,50.51,22.9
1505.5,274.179,187.109,52.413,10.6
1506,299.116,188.455,56.388,13.9
1506.25,261.553,188.025,55.24,12
1506.75,280.064,186.166,48.818,19.9
1506.875,277.967,186.451,48.443,18
1507.25,286.174,188.024,48.345,12.4
1508.125,265.025,183.243,41.711,18.4
1508.25,266.919,181.905,40.994,16.2
1508.375,275.126,181.177,42.893,18.7
1508.5,278.598,181.259,44.996,15.7
1508.75,276.389,184.964,49.873,15.1
1509.625,303.851,186.851,62.854,21.2
1509.75,293.75,185.238,59.899,16.2
1509.875,280.144,183.625,57.561,17.8
1510.5,293.75,175.96,47.172,23.1
1510.625,300.063,175.262,48.084,23.8
1510.75,301.326,174.416,48.969,23.3
1510.875,299.238,174.009,48.719,24.8
1511,297.28,173.622,49.603,21.8
1511.125,296.275,173.234,51.75,22.5
1511.25,300.379,173.693,53.709,23.6
1511.375,303.851,175.834,55.262,22
1511.5,303.851,177.987,56.173,24.6
1511.625,311.072,180.169,57.184,24.1
1511.75,322.159,181.906,58.393,20.2
1512.375,269.76,189.163,53.266,10.7
1512.875,271.023,189.367,50.797,10.3
1513.25,261.553,188.395,48.926,11.4
1513.625,251.452,186.994,50.35,9.8
1514.125,274.811,186.869,51.386,12.9
1514.25,316.803,187.37,54.158,14
1514.625,274.179,187.922,58.349,4.9
1514.875,252.083,188.155,58.629,13.5
1518.5,318.876,186.66,51.666,22.5
1518.625,291.225,185.953,48.573,18.3
1518.75,268.497,185.446,42.768,17.2
1518.875,236.301,185.181,41.612,12.7
1519,211.995,184.686,40.058,8.4
1519.125,198.422,184.664,41.135,3.3
1519.375,228.093,184.678,43.268,13.2
1519.75,281.755,185.452,44.341,19
1520,279.861,183.706,47.968,15.8
1520.5,272.075,177.689,48.69,20
1520.75,294.381,176.285,50.689,22.5
1520.875,303.851,176.326,51.462,24.9
1521,307.639,177.266,52.859,25.2
1521.125,314.583,179.623,55.133,25.1
1521.25,325.947,181.641,57.234,25.9
1523.625,264.71,189.374,57.799,13.2
1524.5,262.184,187.466,54.364,12.8
1525.125,273.548,187.167,53.956,14.8
1525.375,275.442,187.443,53.104,14.5
1525.875,263.439,188.285,55.591,13.2
1526.25,266.728,189.092,53.375,6.9
1526.75,252.715,190.356,48.968,7.7
1527.375,253.346,187.672,43.998,10.5
1527.5,253.346,186.217,45.324,13.8
1527.75,272.917,178.699,45.483,18.5
1527.875,277.967,176.953,45.441,17.3
1528,283.018,175.353,46.311,21.2
1528.125,288.108,173.736,47.703,20.2
1528.25,291.225,172.502,49.147,20.2
1528.5,286.301,171.194,51.419,20.9
1528.625,289.331,171.028,53.251,20.6
1528.75,288.945,171.036,55.347,20.2
1528.875,288.261,172.18,56.938,19.1
1529,295.644,175.249,57.917,17.4
1533,258.938,189.709,49.056,6.2
1534.5,250.9,181.738,53.445,13.5
1534.75,273.548,177.092,48.62,11.5
1535.25,290.593,171.446,46.32,21.2
1535.875,305.004,162.496,46.191,23.9
1536,304.658,161.149,45.349,24
1536.125,306.406,159.622,45.572,24.1
1536.25,309.533,157.087,45.248,24.1
1536.625,317.919,153.899,43.772,27.7
1536.75,319.619,153.166,43.159,26.7
1537.25,316.477,156.129,45.763,26.7
1537.5,318.371,160.277,49.613,27.9
1537.625,313.942,162.607,51.627,26.6
1537.75,311.427,164.543,53.864,26.7
1538.125,314.741,167.779,57.757,19
1538.5,266.288,171.358,52.97,6.9
1449.375,294.831,112.511,33.972,13.5
1449.625,299.323,111.989,33.151,16.6
1450.25,308.779,110.702,33.194,15.7
1451.125,306.273,116.765,36.47,18.5
1451.375,299.323,121.071,41.588,20.8
1451.625,293.666,120.552,40.459,12.2
1451.75,289.933,119.279,39.228,14.4
1451.875,286.688,117.552,38.034,19.1
1452,289.177,115.899,36.025,20.8
1452.5,306.904,110.558,34.816,22.1
1452.625,308.168,109.677,35.493,22.9
1452.75,310.063,109.367,34.603,24
1453,310.695,108.746,32.866,23.8
1453.25,310.695,108.106,32.273,24.8
1453.375,310.695,107.946,32.299,26.2
1453.5,310.695,107.953,33.567,25
1453.625,310.695,107.955,33.605,26.5
1453.875,312.59,108.394,32.827,25.1
1454,313.222,108.588,33.135,23.9
1454.25,314.486,109.561,34.543,24.8
1454.375,314.17,110.169,33.958,23.6
1454.5,311.643,110.757,33.37,26.3
1454.75,301.218,112.955,32.788,25.2
1454.875,296.48,114.493,33.287,20.1
1455.25,277.843,120.213,38.942,22.7
1455.375,293.914,122.028,40.723,25.1
1457.75,294.901,119.902,49.444,22.5
1458.125,298.397,118.783,47.149,20.6
1458.375,299.955,117.051,42.702,18.5
1458.5,298.691,115.133,40.367,19.3
1458.875,296.614,110.591,39.645,22.1
1459,300.618,109.841,40.026,24.8
1459.125,304.377,109.506,37.659,23.5
1459.25,306.904,108.971,38.027,24.8
1459.375,309.431,108.6,39.732,25.4
1459.5,311.958,108.235,40.821,24.6
1459.75,315.117,106.961,37.89,25.4
1460.25,310.063,105.139,35.901,25.1
1460.375,312.59,104.848,35.342,25.1
1460.75,315.117,103.799,37.685,25.8
1461.25,318.276,105.43,38.879,25.9
1461.5,315.749,108.845,40.224,25.9
1461.625,310.695,111.971,42.119,26
1461.75,305.641,114.845,44.065,18.9
1465.375,287.319,111.659,35.779,18.3
1465.875,269.946,110.285,36.223,18.2
1466,269.63,110.104,36.865,19.1
1466.125,265.839,109.662,37.995,19
1468.875,293.479,109.815,38.647,21.1
1469.5,298.06,108.273,37.408,20.9
1469.75,287.131,109.111,36.328,22.3
1421.5,230.1148294,76.165,74.226,6.8
1424.75,284.5603675,65.831,55.688,21
1424.875,288.074147,66.35,55.117,26.3
1425,289.4783465,66.87,54.598,25.9
1425.125,291.4107612,67.389,54.657,25.6
1425.25,292.4507874,67.909,54.818,25.1
1425.625,294.7473753,69.351,57.649,19.6
1425.75,293.8484252,70.217,58.103,23.5
1425.875,292.1686352,71.741,58.225,24.4
1426.125,281.3812336,74.772,59.274,23.9
1426.875,247.5721785,83.937,75.764,8.5
1427.5,250.4888451,85.15,77.215,8.2
1427.875,247.3031496,84.969,75.259,8.5
1428.125,245.0590551,84.444,73.976,9.1
1428.625,245.8005249,84.005,72.804,8.7
1429.125,251.8930446,83.947,78.854,8.9
1429.5,253.0971129,81.27,77.348,10.6
1429.875,255.0885827,77.334,72.01,17.9
1430,255.3772966,75.389,71.241,14
1430.75,271.5649606,69.642,70.793,18.6
1431,275.42979,67.994,68.105,22.3
1431.25,277.8871391,67.187,65.202,23.1
1431.375,278.9402887,66.782,63.105,18.6
1431.625,279.2913386,66.871,60.964,23.1
1431.75,277.8871391,66.883,61.584,21.9
1431.875,275.6332021,67.014,63.8,20.1
1432.5,283.156168,67.735,65.15,22.7
1432.75,287.0209974,67.975,62.846,22.3
1433,287.3720472,67.904,62.11,21.3
1433.125,285.6167979,67.87,61.718,22.3
1433.25,284.2093176,67.836,62.327,22.4
1433.375,283.5170604,67.8,63.548,20.7
1433.625,282.8051181,68.12,64.551,24.3
1433.75,284.3635171,68.312,63.594,22.7
1433.875,285.9678478,68.506,62.147,19.9
1434.25,288.7762467,68.815,60.172,25
1434.5,287.0209974,68.903,62.337,21.9
1434.875,287.7230971,69.37,62.151,24.6
1435,288.7762467,69.53,61.55,22.2
1435.125,289.8293963,69.731,60.928,23
1435.5,290.8858268,71.844,60.138,23.6
1435.625,289.1272966,72.464,60.22,23
1435.75,284.5603675,73.12,61.404,22.1
1436,276.4829396,75.739,67.168,19.7
1436.25,264.1896325,78.437,72.818,14.9
1436.375,267.3490814,79.858,75.642,9.4
1437.25,251.8930446,87.606,80.98,9
1437.625,233.3661417,86.969,65.003,6.4
1437.875,248.2775591,86.697,68.092,11.2
1439.875,259.6062992,86.48,88.251,11
1440,256.3713911,86.259,85.977,10.5
1440.375,248.7040682,85.582,79.175,8.4
1440.5,247.8969816,85.355,77.038,8.3
1440.875,246.6929134,84.663,72.958,7.7
1441.25,248.1069554,82.585,70.862,8.3
1441.375,248.894357,81.607,69.851,10.1
1441.75,247.6804462,78.057,65.329,10.4
1441.875,248.0314961,76.87,64.025,15.9
1442.5,274.937664,72.747,63.778,20.7
1443.125,279.9967192,73.175,66.798,22.2
1443.375,281.3484252,73.416,63.791,19.5
1443.625,282.5590551,72.735,61.741,23.3
1443.875,283.7007874,72.381,61.447,21.9
1444.25,283.9370079,73.659,62.887,21.5
1444.375,282.6345144,74.33,63.619,24.2
1444.625,280.347769,75.671,63.586,21.5
1445.125,287.3720472,80.125,71.378,24
1445.25,287.7230971,80.977,74.447,24.5
1445.5,286.0990814,81.191,77.145,24.2
1445.625,285.4790026,80.983,75.7,24.1
1446,285.3510499,80.408,72.989,23.3
1446.5,287.3720472,81.156,72.295,24.2
1446.625,288.7762467,81.195,72.242,23.3
1446.75,289.4783465,81.077,72.232,22.5
1447,289.4783465,80.78,72.549,21.1
1447.125,289.4783465,80.648,73.038,23.1
1447.25,291.660105,80.639,74.875,26.3
1447.375,293.6843832,80.844,76.629,27
1447.625,288.8221785,81.405,80.115,21.4
1447.75,277.5360892,82.079,81.644,16.9
1448.625,235.8628609,82.878,71.625,6.3
1448.875,231.8733596,80.909,65.271,10.5
1449.5,266.2959318,76.547,59.87,17
1449.875,270.3116798,77.513,67.543,13.2
1450.125,264.8917323,79.139,71.297,18.5
1450.375,265.8562992,80.82,74.977,20.2
1450.625,279.6456693,82.498,80.643,19.9
1450.875,284.5603675,83.754,86.735,20.4
1452,260.3248031,80.05,74.364,14.6
1452.125,263.484252,79.922,74.423,16.2
1452.625,295.1279528,84.835,86.506,19.9
1454.375,249.242126,85.38,74.281,9.6
1454.75,254.1732283,84.072,71.53,12.2
1455,260.4232283,83.755,75.318,14.7
1455.25,263.8385827,84.543,82.141,16.1
1455.625,252.5754593,84.609,80.36,7.9
1456,250.1377953,81.922,76.158,14.8
1456.375,253.3956693,79.357,76.214,15
1456.625,251.8930446,79.932,75.879,17.6
1456.75,250.5019685,80.539,74.479,18.1
1457.375,242.4114173,82.212,68.063,10.3
1457.5,248.3825459,82.276,69.332,14.1
1457.75,263.1233596,84.366,75.282,15.6
1457.875,268.5793963,85.627,80.208,15.4
